type,listPrice,lastSoldPrice,sqft,stories,beds,baths_full,garage,year_built,zip,baths_partial,price_per_sqft,price_category
single_family,630000.0,605000,2274.0,1.0,2.0,2.0,2.0,2007.0,33446,1.0,266.0510114335972,alto
single_family,289000.0,285000,2170.0,1.0,3.0,2.0,2.0,1980.0,33876,0.0,131.3364055299539,bajo
condos,449000.0,425000,1722.0,1.0,3.0,2.0,2.0,2016.0,33913,0.0,246.80603948896632,medio
single_family,599000.0,596000,1699.0,1.0,3.0,3.0,0.0,1952.0,33009,0.0,350.7945850500294,alto
single_family,173500.0,165000,640.0,1.0,1.0,1.0,0.0,1971.0,32118,0.0,257.8125,bajo
townhomes,329000.0,305000,1760.0,2.0,3.0,2.0,1.0,2007.0,33928,1.0,173.29545454545453,medio
single_family,459870.0,459870,1890.0,2.0,3.0,2.0,2.0,2007.0,32806,1.0,243.31746031746033,medio
single_family,695000.0,660000,3418.0,2.0,5.0,3.0,2.0,2012.0,32708,1.0,193.0953774136922,alto
single_family,139900.0,135000,1256.0,1.0,3.0,1.0,0.0,1960.0,33566,0.0,107.48407643312102,bajo
single_family,239900.0,239900,1400.0,1.0,3.0,2.0,2.0,2025.0,34434,0.0,171.35714285714286,bajo
single_family,345000.0,325000,1890.0,1.0,2.0,2.0,2.0,1985.0,33830,1.0,171.95767195767195,medio
single_family,490000.0,475000,2102.0,2.0,4.0,2.0,2.0,2023.0,34787,1.0,225.97526165556613,medio
single_family,799900.0,745000,1876.0,1.0,2.0,2.0,2.0,1999.0,34208,0.0,397.12153518123665,alto
single_family,2549000.0,2625000,3395.0,1.0,4.0,4.0,2.0,1991.0,32082,1.0,773.1958762886597,alto
single_family,644500.0,630000,2711.0,1.0,4.0,3.0,3.0,2005.0,34291,0.0,232.38657322021393,alto
single_family,5595000.0,5250000,7059.0,2.0,6.0,7.0,3.0,2025.0,32461,2.0,743.7314067148321,alto
single_family,700000.0,670000,2358.0,1.0,3.0,3.0,2.0,2019.0,34987,0.0,284.13910093299404,alto
